SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.43991649313097614,0.10704778280226633,-0.5172074769706297,-0.25507669512981873,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
-0.43991649313097614,-0.7073594915983407,0.3436033691154218,-0.4977783031151856,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.43991649313097614,-0.7888002190384014,-0.8046983579993692,-0.7453771804127458,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
-0.43991649313097614,-0.2594354906780068,0.29042586511010604,-0.16505076691783166,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False
-0.43991649313097614,-1.2774445836787656,-0.6717545979860794,-0.9861816480339295,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.43991649313097614,1.369379058123207,0.4898415051300408,1.2866586875723538,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
-0.43991649313097614,-1.2774445836787656,-1.4943441130683104,-0.9971012350138201,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
-0.43991649313097614,0.3106496014024181,-0.27126152094604356,0.04381115131571245,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.43991649313097614,1.3286586944031769,-0.16490651293541178,0.6743235453747702,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False
-0.43991649313097614,1.125056875803025,0.5247392421335293,1.1326594214983812,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False
2.273158691738958,-1.1145631287986442,-0.1615829189350795,-0.8788387990558534,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
-0.43991649313097614,-1.1145631287986442,-0.5105602889699654,-0.903236906530114,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
-0.43991649313097614,-1.2367242199587352,-0.4590445819648154,-0.9515478065017512,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.43991649313097614,-0.0965540357978854,0.09433381909050333,-0.1233577984491584,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False
